PrecOrSplit	SourceName	vip_id	datetime	ElectionDate	StateID	StateName	LocalityID	LocalityName	LocalityType	PrecinctID	PrecName	BSurl	PLlocation_name	PLline1	PLline2	PLcity	PLstate	PLzip	PLdirections	SplitID	SplitName
Precinct: 01-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9407	01-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/001EN.pdf	01-01  Kohala High and Elem Sch	54-3611 Akoni Pule Hwy		Kapaau	HI	96755			
Precinct: 01-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9416	01-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/002EN.pdf	01-02  Hilo Union Elem Sch	506 Waianuenue Ave		Hilo	HI	96720			
Precinct: 01-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9409	01-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-03  Kulaimano Community Ctr	28-2892 Alia St		Hilo	HI	96720			
Precinct: 01-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9410	01-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-04  Honokaa High Sch	45-527 Pakalana St		Honolkaa	HI	96727			
Precinct: 01-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9411	01-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-05  Paauilo Elem Sch	43-1497 Old Main Rd		Paauilo	HI	96776			
Precinct: 01-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9412	01-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-06  Kalanianaole Elem/Inter Sch	27-330 Mamalahoa Hwy		Papaikou	HI	96781			
Precinct: 01-07	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9413	01-07	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-07  Papaaloa Gym	35-1994 Government Main Road		Papaaloa	HI	96780			
Precinct: 01-08	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9414	01-08	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-08  Honohina Hongwanji	32-896 Mamalahoa Hwy		Hilo	HI	96720			
Precinct: 01-09	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9415	01-09	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/003EN.pdf	01-09  Puueo Multi-Culture Ctr	145 Wainaku St		Hilo	HI	96720			
Precinct: 02-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9417	02-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/004EN.pdf	02-01  Ernest B DeSilva Elem Sch	278 Ainako Ave		Hilo	HI	96720			
Precinct: 02-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9418	02-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/004EN.pdf	02-02  Kaumana Elem Sch	1710 Kaumana Dr		Hilo	HI	96720			
Precinct: 02-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9419	02-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/004EN.pdf	02-03  Hilo Hi Sch	556 Waianuenue Ave		Hilo	HI	96720			
Precinct: 02-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9420	02-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/005EN.pdf	02-04  Keaukaha Elem Sch	240 Desha Ave		Hilo	HI	96720			
Precinct: 02-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9421	02-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/005EN.pdf	02-05  Edith Kanakaole Tennis Stad	350 Kalanikoa St		Hilo	HI	96720			
Precinct: 03-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9422	03-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/006EN.pdf	03-01  AJA Memorial Hall	361 Haihai St		Hilo	HI	96720			
Precinct: 03-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9423	03-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/007EN.pdf	03-02  Hale Aloha Nazarene Sch	595 Kupulau Rd		Hilo	HI	96720			
Precinct: 03-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9424	03-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/008EN.pdf	03-03  Hilo Daijingu Activity Center	10 Anela St		Hilo	HI	96720			
Precinct: 03-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9425	03-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/006EN.pdf	03-04  Waiakea High Sch	155 W Kawili St		Hilo	HI	96720			
Precinct: 03-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9426	03-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/006EN.pdf	03-05  Keaau Middle Sch	16-565 Keaau-Pahoa Rd		Keaau 	HI	96749			
Precinct: 03-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9427	03-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/009EN.pdf	03-06  Waiakea Elem Sch	180 W Puainako St		Hilo	HI	96720			
Precinct: 03-07	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9428	03-07	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/010EN.pdf	03-07  Waiakeawaena Elem Sch	2420 Kilauea Ave		Hilo	HI	96720			
Precinct: 04-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9429	04-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/011EN.pdf	04-01  Kurtistown Assembly of God Church	17-550 Volcano Rd		Kurtistown	HI	96760			
Precinct: 04-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9430	04-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/012EN.pdf	04-02  Keaau High Sch	16-725 Keaau-Pahoa Rd		Keaau 	HI	96749			
Precinct: 04-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9431	04-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/013EN.pdf	04-03  Hawaiian Paradise Comm Ctr	Makuu Dr		Keaau 	HI	96749			
Precinct: 04-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9432	04-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/013EN.pdf	04-04  Keonepoko Elem Sch	15-890 Kahakai Blvd		Pahoa	HI	96778			
Precinct: 04-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9433	04-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/013EN.pdf	04-05  Pahoa Community Ctr	15-2910 Kauhale St		Hilo	HI	96720			
Precinct: 04-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9434	04-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/013EN.pdf	04-06  Church on a Sure Foundation	16-1592 Pohaku Cir		Keaau 	HI	96749			
Precinct: 05-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9435	05-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/014EN.pdf	05-01  Mountain View Elem Sch	18-1235 Volcano Rd		Mountain View 	HI	96771			
Precinct: 05-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9436	05-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/015EN.pdf	05-02  Mountain View Senior Center	18-1345 Volcano Rd		Hilo	HI	96720			
Precinct: 05-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9437	05-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/015EN.pdf	05-03  Cooper Ctr	19-4030 Wright Rd		Hilo	HI	96720			
Precinct: 05-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9438	05-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/015EN.pdf	05-04  Kau High Sch	96-3150 Pikake St		Pahala	HI	96777			
Precinct: 05-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9439	05-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/015EN.pdf	05-05  Naalehu Elem Sch	95-5545 Mamalahoa Hwy		Naalehu	HI	96772			
Precinct: 05-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9440	05-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/015EN.pdf	05-06  Ocean View Community Ctr	92-8924 Leilani Cir		Ocean View	HI	96737			
Precinct: 05-07	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9441	05-07	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/016EN.pdf	05-07  Milolii Halau	Milolii		Honaunau	HI	96726			
Precinct: 05-08	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9442	05-08	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/016EN.pdf	05-08  Hookena Elem Sch	86-4355 Mamalahoa Hwy		Captain Cook	HI	96704			
Precinct: 05-09	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9443	05-09	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/016EN.pdf	05-09  St Benedict Catholic Church	84-5140 Painted Church Rd		Honaunau	HI	96726			
Precinct: 05-10	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9444	05-10	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/017EN.pdf	05-10  Konawaena Elem Sch	81-6469 Mamalahoa Hwy		Kealakekua	HI	96750			
Precinct: 05-11	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9445	05-11	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/017EN.pdf	05-11  Konawaena High Sch	81-1043 Konawaena Sch Rd		Kealakekua	HI	96750			
Precinct: 06-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9446	06-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/018EN.pdf	06-01  Kealakehe Inter Sch	74-5062 Onipaa St		Kailua-Kona	HI	96740			
Precinct: 06-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9447	06-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/019EN.pdf	06-02  Kahakai Elem Sch	76-147 Royal Poinciana Dr		Kailua-Kona	HI	96740			
Precinct: 06-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9448	06-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/019EN.pdf	06-03  Kona Vistas Rec Ctr	76-6350 Pualani St		Kailua-Kona	HI	96740			
Precinct: 06-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9449	06-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/019EN.pdf	06-04  Kona Imin Ctr	76-5877 Mamalahoa Hwy		Hilo	HI	96720			
Precinct: 06-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9450	06-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/018EN.pdf	06-05  Kekuaokalani Gym	75-5500 Kuakini Hwy		Kailua-Kona	HI	96740			
Precinct: 07-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9451	07-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/020EN.pdf	07-01  Kealakehe High Sch	74-5000 Puohulihuli St		Kailua-Kona	HI	96740			
Precinct: 07-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9452	07-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/020EN.pdf	07-02  Kona Palisades Community Ctr	73-1073 Ka Imi Nani Dr.		Kailua-Kona	HI	96740			
Precinct: 07-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9453	07-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/021EN.pdf	07-03  Waikoloa Elem Sch	68-1730 Hooko St		Waikoloa	HI	96738			
Precinct: 07-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9454	07-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/021EN.pdf	07-04  Waimea Civic Ctr	67-5189 Kamamalu St		Kamuela	HI	96720			
Precinct: 07-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	16	County of Hawaii	county	9455	07-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/022EN.pdf	07-05  Waimea New Hope Church	65-1078 Mamalahoa Hwy		Kamuela	HI	96734			
Precinct: 08-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9456	08-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-01  Waihee Elem Sch	2125 Kahekili Hwy		Wailuku	HI	96793			
Precinct: 08-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9457	08-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-02  Velma McWayne Santos Comm Ctr	395 Waena St		Wailuku	HI	96793			
Precinct: 08-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9458	08-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-03  Baldwin High Sch	1650 Kaahumanu Ave		Wailuku	HI	96793			
Precinct: 08-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9459	08-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-04  Paukukalo Hwn Homes Comm Ctr	657 Kaumualii St.		Honolulu	HI	96805			
Precinct: 08-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9460	08-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-05  Wailuku Elem Sch	355 S High St		        	HI	        			
Precinct: 08-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9461	08-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-06  Waikapu Community Ctr	22 E Waiko Rd		Wailuku	HI	96793			
Precinct: 08-07	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9462	08-07	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/023EN.pdf	08-07  Maui Economic Opportunity Ctr	99 Mahalani St		Wailuku	HI	96793			
Precinct: 09-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9463	09-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/024EN.pdf	09-01  Iao Sch	260 S Market St		Wailuku	HI	96793			
Precinct: 09-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9464	09-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/024EN.pdf	09-02  Maui Waena Inter Sch	795 Onehee Ave		Kahului	HI	96732			
Precinct: 09-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9465	09-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/024EN.pdf	09-03  Lihikai Elem Sch	335 S Papa Ave		Kahului	HI	96732			
Precinct: 09-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9466	09-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/024EN.pdf	09-04  Maui High School	660 S Lono Ave		Kahului	HI	96732			
Precinct: 09-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9467	09-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/024EN.pdf	09-05  Kahului Elem Sch	410  S Hina Ave		Kahului	HI	96732			
Precinct: 09-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9468	09-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/024EN.pdf	09-06  Kaunoa Senior Citizen Ctr	401 Alakapa Pl		Wailuku	HI	96793			
Precinct: 10-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9469	10-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/025EN.pdf	10-01  Kenolio Recreational Complex	131 S Kihei Rd		Wailuku	HI	96793			
Precinct: 10-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9470	10-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/025EN.pdf	10-02  Kamehameha III Elem Sch	611 Front St		Lahaina	HI	96761			
Precinct: 10-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9471	10-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/025EN.pdf	10-03  Lahaina Inter Sch	871 Lahainaluna Rd		Lahaina	HI	96761			
Precinct: 10-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9472	10-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/025EN.pdf	10-04  Princess Nahienaena Elem Sch	816 Niheu St		Lahaina	HI	96761			
Precinct: 10-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9473	10-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/025EN.pdf	10-05  Lahaina Civic Ctr	1840 Honoapiilani Hwy		Wailuku	HI	96793			
Precinct: 10-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9474	10-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/025EN.pdf	10-06  Honolua United Methodist Church	5110 Kohi St		Lahaina	HI	96761			
Precinct: 11-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9475	11-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/026EN.pdf	11-01  Trinity Episcopal Church by the Sea	100 Kulanihakoi St		Kihei	HI	96753			
Precinct: 11-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9476	11-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/026EN.pdf	11-02  Kamalii Elem Sch	180 Alanui Ke Alii St		Kihei	HI	96753			
Precinct: 11-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9477	11-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/026EN.pdf	11-03  Kihei Community Ctr	303 E Lipoa St		Wailuku	HI	96793			
Precinct: 11-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9478	11-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/026EN.pdf	11-04  Kihei Elem Sch	250 E Lipoa St		Kihei	HI	96753			
Precinct: 12-01	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9479	12-01	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/027EN.pdf	12-01  Kalama Inter Sch	120 Makani Rd		Makawao	HI	96768			
Precinct: 12-02	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9480	12-02	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/027EN.pdf	12-02  Eddie Tam Memorial Center	931 Makawao Ave		Wailuku	HI	96793			
Precinct: 12-03	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9481	12-03	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/027EN.pdf	12-03  Pukalani Elem Sch	2945 Iolani St		Pukalani	HI	96768			
Precinct: 12-04	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9482	12-04	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/027EN.pdf	12-04  Mayor Hannibal Tavares Comm Ctr	91 Pukalani St		Wailuku	HI	96793			
Precinct: 12-05	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9483	12-05	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/027EN.pdf	12-05  Kula Community Ctr	4355 Lower Kula Rd		Wailuku	HI	96793			
Precinct: 12-06	State of Hawaii, Office of Elections	15	2010-10-25T11:52:16	2010-11-02	15	Hawaii	5	County of Maui	county	9484	12-06	http://elections3.hawaii.gov/ppl/docs/ppl/BALLOTS/English/027EN.pdf	12-06  Kula Elem Sch	5000 Kula Hwy		Kula	HI	96790			
